"V1";"V2";"V3";"V4";"V5"
"9";109;80;84;4;-300
"10";110;40;44;4;-300
"1";101;9;13;4;-300
"2";102;14;30;16;-300
"3";103;93;120;27;-300
"4";104;56;63;7;-300
"5";105;31;32;1;-300
"6";106;1;8;7;-300
"7";107;68;92;24;-300
"8";108;64;67;3;-300
"9";109;49;55;6;-300
"10";110;33;48;15;-300
"1";101;10;49;39;-300
"2";102;67;68;1;-300
"3";103;5;9;4;-300
"4";104;83;95;12;-300
"5";105;50;66;16;-300
"6";106;69;82;13;-300
"7";107;1;4;3;-300
"8";108;107;111;4;-300
"9";109;96;106;10;-300
"10";110;112;120;8;-300
"1";101;48;62;14;-300
"2";102;95;101;6;-300
"3";103;31;36;5;-300
"4";104;37;47;10;-300
"5";105;63;79;16;-300
"6";106;80;81;1;-300
"7";107;90;94;4;-300
"8";108;1;30;29;-300
"9";109;82;89;7;-300
"10";110;102;120;18;-300
"1";101;63;68;5;-300
"2";102;96;105;9;-300
"3";103;47;57;10;-300
"4";104;17;46;29;-300
"5";105;12;16;4;-300
"6";106;1;11;10;-300
"7";107;69;92;23;-300
"8";108;93;95;2;-300
"9";109;106;120;14;-300
"10";110;58;62;4;-300
"1";101;40;43;3;-300
"2";102;94;105;11;-300
"3";103;12;26;14;-300
"4";104;44;60;16;-300
"5";105;106;120;14;-300
"6";106;27;28;1;-300
"7";107;32;39;7;-300
"8";108;1;11;10;-300
"9";109;61;93;32;-300
"10";110;29;31;2;-300
"1";101;1;17;16;-300
"2";102;43;54;11;-300
"3";103;18;28;10;-300
"4";104;29;36;7;-300
"5";105;100;104;4;-300
"6";106;68;99;31;-300
"7";107;105;120;15;-300
"8";108;57;67;10;-300
"9";109;55;56;1;-300
"10";110;37;42;5;-300
"1";101;76;83;7;-300
"2";102;40;43;3;-300
"3";103;15;22;7;-300
"4";104;84;112;28;-300
"5";105;44;75;31;-300
"6";106;1;8;7;-300
"7";107;23;39;16;-300
"8";108;118;120;2;-300
"9";109;113;117;4;-300
"10";110;9;14;5;-300
"1";101;74;76;2;-300
"2";102;56;73;17;-300
"3";103;37;47;10;-300
"4";104;28;36;8;-300
"5";105;1;15;14;-300
"6";106;77;120;43;-300
"7";107;52;55;3;-300
"8";108;16;22;6;-300
"9";109;48;51;3;-300
"10";110;23;27;4;-300
"1";101;29;55;26;-300
"2";102;10;28;18;-300
"3";103;86;87;1;-300
"4";104;5;9;4;-300
"5";105;95;96;1;-300
"6";106;97;120;23;-300
"7";107;88;94;6;-300
"8";108;1;4;3;-300
"9";109;56;66;10;-300
"10";110;67;85;18;-300
"1";101;76;94;18;-300
"2";102;65;75;10;-300
"3";103;12;20;8;-300
"4";104;105;120;15;-300
"5";105;6;11;5;-300
"6";106;1;5;4;-300
"7";107;95;104;9;-300
"8";108;48;64;16;-300
"9";109;37;47;10;-300
"10";110;21;36;15;-300
"1";101;104;107;3;-300
"2";102;46;54;8;-300
"3";103;1;4;3;-300
"4";104;15;16;1;-300
"5";105;108;120;12;-300
"6";106;5;14;9;-300
"7";107;91;103;12;-300
"8";108;89;90;1;-300
"9";109;17;45;28;-300
"10";110;55;88;33;-300
"1";101;66;80;14;-300
"2";102;81;120;39;-300
"3";103;26;33;7;-300
"4";104;41;65;24;-300
"5";105;1;10;9;-300
"6";106;24;25;1;-300
"7";107;34;38;4;-300
"8";108;13;23;10;-300
"9";109;39;40;1;-300
"10";110;11;12;1;-300
"1";101;82;90;8;-300
"2";102;56;77;21;-300
"3";103;1;5;4;-300
"4";104;54;55;1;-300
"5";105;51;53;2;-300
"6";106;6;46;40;-300
"7";107;91;106;15;-300
"8";108;107;120;13;-300
"9";109;78;81;3;-300
"10";110;47;50;3;-300
"1";101;105;108;3;-300
"2";102;54;60;6;-300
"3";103;83;87;4;-300
"4";104;61;67;6;-300
"5";105;1;27;26;-300
"6";106;68;82;14;-300
"7";107;109;120;11;-300
"8";108;94;104;10;-300
"9";109;28;53;25;-300
"10";110;88;93;5;-300
"1";101;104;110;6;-300
"2";102;63;103;40;-300
"3";103;38;62;24;-300
"4";104;35;37;2;-300
"5";105;4;9;5;-300
"6";106;111;120;9;-300
"7";107;12;22;10;-300
"8";108;1;3;2;-300
"9";109;10;11;1;-300
"10";110;23;34;11;-300
"1";101;3;5;2;-300
"2";102;69;75;6;-300
"3";103;1;2;1;-300
"4";104;64;68;4;-300
"5";105;29;59;30;-300
"6";106;25;28;3;-300
"7";107;76;120;44;-300
"8";108;12;24;12;-300
"9";109;60;63;3;-300
"10";110;6;11;5;-300
"1";101;104;120;16;-300
"2";102;11;26;15;-300
"3";103;55;80;25;-300
"4";104;81;97;16;-300
"5";105;98;100;2;-300
"6";106;1;10;9;-300
"7";107;52;54;2;-300
"8";108;101;103;2;-300
"9";109;27;43;16;-300
"10";110;44;51;7;-300
"1";101;108;109;1;-300
"2";102;79;88;9;-300
"3";103;75;78;3;-300
"4";104;110;120;10;-300
"5";105;27;28;1;-300
"6";106;10;18;8;-300
"7";107;89;107;18;-300
"8";108;29;74;45;-300
"9";109;1;9;8;-300
"10";110;19;26;7;-300
"1";101;74;77;3;-300
"2";102;78;79;1;-300
"3";103;41;43;2;-300
"4";104;32;40;8;-300
"5";105;102;120;18;-300
"6";106;1;31;30;-300
"7";107;69;73;4;-300
"8";108;44;56;12;-300
"9";109;80;101;21;-300
"10";110;57;68;11;-300
"1";101;72;74;2;-300
"2";102;21;31;10;-300
"3";103;85;120;35;-300
"4";104;32;39;7;-300
"5";105;45;71;26;-300
"6";106;10;20;10;-300
"7";107;75;79;4;-300
"8";108;1;9;8;-300
"9";109;80;84;4;-300
"10";110;40;44;4;-300
"1";101;9;13;4;-300
"2";102;14;30;16;-300
"3";103;93;120;27;-300
"4";104;56;63;7;-300
"5";105;31;32;1;-300
"6";106;1;8;7;-300
"7";107;68;92;24;-300
"8";108;64;67;3;-300
"9";109;49;55;6;-300
"10";110;33;48;15;-300
"1";101;10;49;39;-300
"2";102;67;68;1;-300
"3";103;5;9;4;-300
"4";104;83;95;12;-300
"5";105;50;66;16;-300
"6";106;69;82;13;-300
"7";107;1;4;3;-300
"8";108;107;111;4;-300
"9";109;96;106;10;-300
"10";110;112;120;8;-300
"1";101;48;62;14;-300
"2";102;95;101;6;-300
"3";103;31;36;5;-300
"4";104;37;47;10;-300
"5";105;63;78;15;-300
"6";106;79;81;2;-300
"7";107;90;94;4;-300
"8";108;1;30;29;-300
"9";109;82;89;7;-300
"10";110;102;120;18;-300
"1";101;63;68;5;-300
"2";102;96;105;9;-300
"3";103;47;57;10;-300
"4";104;16;46;30;-300
"5";105;11;15;4;-300
"6";106;1;10;9;-300
"7";107;69;92;23;-300
"8";108;93;95;2;-300
"9";109;106;120;14;-300
"10";110;58;62;4;-300
"1";101;40;43;3;-300
"2";102;93;105;12;-300
"3";103;12;26;14;-300
"4";104;44;60;16;-300
"5";105;106;120;14;-300
"6";106;27;28;1;-300
"7";107;32;39;7;-300
"8";108;1;11;10;-300
"9";109;61;92;31;-300
"10";110;29;31;2;-300
"1";101;1;17;16;-300
"2";102;43;54;11;-300
"3";103;18;28;10;-300
"4";104;29;36;7;-300
"5";105;100;104;4;-300
"6";106;68;99;31;-300
"7";107;105;120;15;-300
"8";108;57;67;10;-300
"9";109;55;56;1;-300
"10";110;37;42;5;-300
"1";101;76;84;8;-300
"2";102;40;43;3;-300
"3";103;15;22;7;-300
"4";104;85;112;27;-300
"5";105;44;75;31;-300
"6";106;1;8;7;-300
"7";107;23;39;16;-300
"8";108;118;120;2;-300
"9";109;113;117;4;-300
"10";110;9;14;5;-300
"1";101;74;76;2;-300
"2";102;56;73;17;-300
"3";103;37;47;10;-300
"4";104;28;36;8;-300
"5";105;1;15;14;-300
"6";106;77;120;43;-300
"7";107;52;55;3;-300
"8";108;16;22;6;-300
"9";109;48;51;3;-300
"10";110;23;27;4;-300
"1";101;29;55;26;-300
"2";102;10;28;18;-300
"3";103;86;87;1;-300
"4";104;5;9;4;-300
"5";105;95;96;1;-300
"6";106;97;120;23;-300
"7";107;88;94;6;-300
"8";108;1;4;3;-300
"9";109;56;66;10;-300
"10";110;67;85;18;-300
"1";101;76;94;18;-300
"2";102;65;75;10;-300
"3";103;12;20;8;-300
"4";104;105;120;15;-300
"5";105;6;11;5;-300
"6";106;1;5;4;-300
"7";107;95;104;9;-300
"8";108;48;64;16;-300
"9";109;37;47;10;-300
"10";110;21;36;15;-300
"1";101;104;107;3;-300
"2";102;45;54;9;-300
"3";103;1;4;3;-300
"4";104;15;16;1;-300
"5";105;108;120;12;-300
"6";106;5;14;9;-300
"7";107;91;103;12;-300
"8";108;89;90;1;-300
"9";109;17;44;27;-300
"10";110;55;88;33;-300
"1";101;66;80;14;-300
"2";102;81;120;39;-300
"3";103;25;32;7;-300
"4";104;40;65;25;-300
"5";105;1;10;9;-300
"6";106;23;24;1;-300
"7";107;33;37;4;-300
"8";108;13;22;9;-300
"9";109;38;39;1;-300
"10";110;11;12;1;-300
"1";101;82;92;10;-300
"2";102;56;77;21;-300
"3";103;1;5;4;-300
"4";104;54;55;1;-300
"5";105;51;53;2;-300
"6";106;6;46;40;-300
"7";107;93;106;13;-300
"8";108;107;120;13;-300
"9";109;78;81;3;-300
"10";110;47;50;3;-300
"1";101;105;108;3;-300
"2";102;54;60;6;-300
"3";103;83;87;4;-300
"4";104;61;67;6;-300
"5";105;1;27;26;-300
"6";106;68;82;14;-300
"7";107;109;120;11;-300
"8";108;94;104;10;-300
"9";109;28;53;25;-300
"10";110;88;93;5;-300
"1";101;104;110;6;-300
"2";102;63;103;40;-300
"3";103;38;62;24;-300
"4";104;35;37;2;-300
"5";105;4;9;5;-300
"6";106;111;120;9;-300
"7";107;12;22;10;-300
"8";108;1;3;2;-300
"9";109;10;11;1;-300
"10";110;23;34;11;-300
"1";101;3;5;2;-300
"2";102;69;74;5;-300
"3";103;1;2;1;-300
"4";104;64;68;4;-300
"5";105;29;59;30;-300
"6";106;25;28;3;-300
"7";107;75;120;45;-300
"8";108;12;24;12;-300
"9";109;60;63;3;-300
"10";110;6;11;5;-300
"1";101;104;120;16;-300
"2";102;11;26;15;-300
"3";103;55;80;25;-300
"4";104;81;97;16;-300
"5";105;98;100;2;-300
"6";106;1;10;9;-300
"7";107;52;54;2;-300
"8";108;101;103;2;-300
"9";109;27;43;16;-300
"10";110;44;51;7;-300
"1";101;74;77;3;-300
"2";102;78;79;1;-300
"3";103;41;43;2;-300
"4";104;32;40;8;-300
"5";105;101;120;19;-300
"6";106;1;31;30;-300
"7";107;69;73;4;-300
"8";108;44;56;12;-300
"9";109;80;100;20;-300
"10";110;57;68;11;-300
"1";101;74;77;3;-300
"2";102;78;79;1;-300
"3";103;41;43;2;-300
"4";104;32;40;8;-300
"5";105;102;120;18;-300
"6";106;1;31;30;-300
"7";107;69;73;4;-300
"8";108;44;56;12;-300
"9";109;80;101;21;-300
"10";110;57;68;11;-300
"1";101;74;77;3;-300
"2";102;78;79;1;-300
"3";103;41;43;2;-300
"4";104;32;40;8;-300
"5";105;101;120;19;-300
"6";106;1;31;30;-300
"7";107;69;73;4;-300
"8";108;44;56;12;-300
"9";109;80;100;20;-300
"10";110;57;68;11;-300
"1";101;108;109;1;-300
"2";102;79;88;9;-300
"3";103;75;78;3;-300
"4";104;110;120;10;-300
"5";105;27;28;1;-300
"6";106;10;18;8;-300
"7";107;89;107;18;-300
"8";108;29;74;45;-300
"9";109;1;9;8;-300
"10";110;19;26;7;-300
"1";101;74;77;3;-300
"2";102;78;79;1;-300
"3";103;41;43;2;-300
"4";104;32;40;8;-300
"5";105;101;120;19;-300
"6";106;1;31;30;-300
"7";107;69;73;4;-300
"8";108;44;56;12;-300
"9";109;80;100;20;-300
"10";110;57;68;11;-300
"1";101;72;74;2;-300
"2";102;21;31;10;-300
"3";103;85;120;35;-300
"4";104;32;39;7;-300
"5";105;45;71;26;-300
"6";106;10;20;10;-300
"7";107;75;79;4;-300
"8";108;1;9;8;-300
"9";109;80;84;4;-300
"10";110;40;44;4;-300
"1";101;9;13;4;-300
"2";102;14;30;16;-300
"3";103;93;120;27;-300
"4";104;57;64;7;-300
"5";105;31;32;1;-300
"6";106;1;8;7;-300
"7";107;69;92;23;-300
"8";108;65;68;3;-300
"9";109;50;56;6;-300
"10";110;33;49;16;-300
"1";101;10;49;39;-300
"2";102;67;68;1;-300
"3";103;5;9;4;-300
"4";104;83;95;12;-300
"5";105;50;66;16;-300
"6";106;69;82;13;-300
"7";107;1;4;3;-300
"8";108;107;110;3;-300
"9";109;96;106;10;-300
"10";110;111;120;9;-300
"1";101;48;62;14;-300
"2";102;95;101;6;-300
"3";103;31;36;5;-300
"4";104;37;47;10;-300
"5";105;63;77;14;-300
"6";106;78;80;2;-300
"7";107;90;94;4;-300
"8";108;1;30;29;-300
"9";109;81;89;8;-300
"10";110;102;120;18;-300
"1";101;62;68;6;-300
"2";102;96;105;9;-300
"3";103;47;56;9;-300
"4";104;16;46;30;-300
"5";105;11;15;4;-300
"6";106;1;10;9;-300
"7";107;69;92;23;-300
"8";108;93;95;2;-300
"9";109;106;120;14;-300
"10";110;57;61;4;-300
"1";101;40;43;3;-300
"2";102;93;104;11;-300
"3";103;12;26;14;-300
"4";104;44;60;16;-300
"5";105;105;120;15;-300
"6";106;27;28;1;-300
"7";107;32;39;7;-300
"8";108;1;11;10;-300
"9";109;61;92;31;-300
"10";110;29;31;2;-300
"1";101;1;17;16;-300
"2";102;43;54;11;-300
"3";103;18;28;10;-300
"4";104;29;36;7;-300
"5";105;100;104;4;-300
"6";106;68;99;31;-300
"7";107;105;120;15;-300
"8";108;57;67;10;-300
"9";109;55;56;1;-300
"10";110;37;42;5;-300
"1";101;76;84;8;-300
"2";102;40;43;3;-300
"3";103;15;22;7;-300
"4";104;85;112;27;-300
"5";105;44;75;31;-300
"6";106;1;8;7;-300
"7";107;23;39;16;-300
"8";108;118;120;2;-300
"9";109;113;117;4;-300
"10";110;9;14;5;-300
"1";101;74;76;2;-300
"2";102;56;73;17;-300
"3";103;37;47;10;-300
"4";104;28;36;8;-300
"5";105;1;15;14;-300
"6";106;77;120;43;-300
"7";107;52;55;3;-300
"8";108;16;22;6;-300
"9";109;48;51;3;-300
"10";110;23;27;4;-300
"1";101;29;55;26;-300
"2";102;10;28;18;-300
"3";103;88;94;6;-300
"4";104;5;9;4;-300
"5";105;95;96;1;-300
"6";106;97;120;23;-300
"7";107;69;87;18;-300
"8";108;1;4;3;-300
"9";109;56;66;10;-300
"10";110;67;68;1;-300
"1";101;76;94;18;-300
"2";102;66;75;9;-300
"3";103;12;20;8;-300
"4";104;105;120;15;-300
"5";105;6;11;5;-300
"6";106;1;5;4;-300
"7";107;95;104;9;-300
"8";108;49;65;16;-300
"9";109;38;48;10;-300
"10";110;21;37;16;-300
"1";101;104;107;3;-300
"2";102;45;54;9;-300
"3";103;1;4;3;-300
"4";104;15;16;1;-300
"5";105;108;120;12;-300
"6";106;5;14;9;-300
"7";107;91;103;12;-300
"8";108;89;90;1;-300
"9";109;17;44;27;-300
"10";110;55;88;33;-300
"1";101;66;80;14;-300
"2";102;81;120;39;-300
"3";103;23;30;7;-300
"4";104;40;65;25;-300
"5";105;1;10;9;-300
"6";106;38;39;1;-300
"7";107;31;35;4;-300
"8";108;13;22;9;-300
"9";109;36;37;1;-300
"10";110;11;12;1;-300
"1";101;83;93;10;-300
"2";102;57;78;21;-300
"3";103;1;5;4;-300
"4";104;54;56;2;-300
"5";105;51;53;2;-300
"6";106;6;46;40;-300
"7";107;94;106;12;-300
"8";108;107;120;13;-300
"9";109;79;82;3;-300
"10";110;47;50;3;-300
"1";101;105;108;3;-300
"2";102;54;60;6;-300
"3";103;83;87;4;-300
"4";104;61;67;6;-300
"5";105;1;27;26;-300
"6";106;68;82;14;-300
"7";107;109;120;11;-300
"8";108;94;104;10;-300
"9";109;28;53;25;-300
"10";110;88;93;5;-300
"1";101;104;110;6;-300
"2";102;63;103;40;-300
"3";103;38;62;24;-300
"4";104;35;37;2;-300
"5";105;4;9;5;-300
"6";106;111;120;9;-300
"7";107;12;22;10;-300
"8";108;1;3;2;-300
"9";109;10;11;1;-300
"10";110;23;34;11;-300
"1";101;3;5;2;-300
"2";102;70;75;5;-300
"3";103;1;2;1;-300
"4";104;65;69;4;-300
"5";105;29;60;31;-300
"6";106;25;28;3;-300
"7";107;76;120;44;-300
"8";108;12;24;12;-300
"9";109;61;64;3;-300
"10";110;6;11;5;-300
"1";101;104;120;16;-300
"2";102;11;26;15;-300
"3";103;56;81;25;-300
"4";104;82;97;15;-300
"5";105;98;100;2;-300
"6";106;1;10;9;-300
"7";107;53;55;2;-300
"8";108;101;103;2;-300
"9";109;27;43;16;-300
"10";110;44;52;8;-300
"1";101;108;109;1;-300
"2";102;79;88;9;-300
"3";103;75;78;3;-300
"4";104;110;120;10;-300
"5";105;27;28;1;-300
"6";106;10;18;8;-300
"7";107;89;107;18;-300
"8";108;29;74;45;-300
"9";109;1;9;8;-300
"10";110;19;26;7;-300
"1";101;74;77;3;-300
"2";102;78;79;1;-300
"3";103;41;43;2;-300
"4";104;32;40;8;-300
"5";105;101;120;19;-300
"6";106;1;31;30;-300
"7";107;69;73;4;-300
"8";108;44;56;12;-300
"9";109;80;100;20;-300
"10";110;57;68;11;-300
"1";101;72;74;2;-300
"2";102;21;31;10;-300
"3";103;85;120;35;-300
"4";104;32;39;7;-300
"5";105;45;71;26;-300
"6";106;10;20;10;-300
"7";107;75;79;4;-300
"8";108;1;9;8;-300
"9";109;80;84;4;-300
"10";110;40;44;4;-300
"1";101;9;13;4;-300
"2";102;14;30;16;-300
"3";103;93;120;27;-300
"4";104;56;63;7;-300
"5";105;31;32;1;-300
"6";106;1;8;7;-300
"7";107;68;92;24;-300
"8";108;64;67;3;-300
"9";109;49;55;6;-300
"10";110;33;48;15;-300
"1";101;10;49;39;-300
"2";102;67;68;1;-300
"3";103;5;9;4;-300
"4";104;83;95;12;-300
"5";105;50;66;16;-300
"6";106;69;82;13;-300
"7";107;1;4;3;-300
"8";108;107;111;4;-300
"9";109;96;106;10;-300
"10";110;112;120;8;-300
"1";101;48;62;14;-300
"2";102;95;101;6;-300
"3";103;31;36;5;-300
"4";104;37;47;10;-300
"5";105;63;78;15;-300
"6";106;79;81;2;-300
"7";107;90;94;4;-300
"8";108;1;30;29;-300
"9";109;82;89;7;-300
"10";110;102;120;18;-300
"1";101;63;68;5;-300
"2";102;96;105;9;-300
"3";103;47;57;10;-300
"4";104;16;46;30;-300
"5";105;11;15;4;-300
"6";106;1;10;9;-300
"7";107;69;92;23;-300
"8";108;93;95;2;-300
"9";109;106;120;14;-300
"10";110;58;62;4;-300
"1";101;40;43;3;-300
"2";102;93;105;12;-300
"3";103;12;26;14;-300
"4";104;44;60;16;-300
"5";105;106;120;14;-300
"6";106;27;28;1;-300
"7";107;32;39;7;-300
"8";108;1;11;10;-300
"9";109;61;92;31;-300
"10";110;29;31;2;-300
"1";101;1;17;16;-300
"2";102;43;54;11;-300
"3";103;18;28;10;-300
"4";104;29;36;7;-300
"5";105;100;104;4;-300
"6";106;68;99;31;-300
"7";107;105;120;15;-300
"8";108;57;67;10;-300
"9";109;55;56;1;-300
"10";110;37;42;5;-300
"1";101;76;84;8;-300
"2";102;40;43;3;-300
"3";103;15;22;7;-300
"4";104;85;112;27;-300
"5";105;44;75;31;-300
"6";106;1;8;7;-300
"7";107;23;39;16;-300
"8";108;118;120;2;-300
"9";109;113;117;4;-300
"10";110;9;14;5;-300
"1";101;74;76;2;-300
"2";102;56;73;17;-300
"3";103;37;47;10;-300
"4";104;28;36;8;-300
"5";105;1;15;14;-300
"6";106;77;120;43;-300
"7";107;52;55;3;-300
"8";108;16;22;6;-300
"9";109;48;51;3;-300
"10";110;23;27;4;-300
"1";101;29;55;26;-300
"2";102;10;28;18;-300
"3";103;86;87;1;-300
"4";104;5;9;4;-300
"5";105;95;96;1;-300
"6";106;97;120;23;-300
"7";107;88;94;6;-300
"8";108;1;4;3;-300
"9";109;56;66;10;-300
"10";110;67;85;18;-300
"1";101;76;94;18;-300
"2";102;65;75;10;-300
"3";103;12;20;8;-300
"4";104;105;120;15;-300
"5";105;6;11;5;-300
"6";106;1;5;4;-300
"7";107;95;104;9;-300
"8";108;48;64;16;-300
"9";109;37;47;10;-300
"10";110;21;36;15;-300
"1";101;104;107;3;-300
"2";102;45;54;9;-300
"3";103;1;4;3;-300
"4";104;15;16;1;-300
"5";105;108;120;12;-300
"6";106;5;14;9;-300
"7";107;91;103;12;-300
"8";108;89;90;1;-300
"9";109;17;44;27;-300
"10";110;55;88;33;-300
"1";101;66;80;14;-300
"2";102;81;120;39;-300
"3";103;25;32;7;-300
"4";104;40;65;25;-300
"5";105;1;10;9;-300
"6";106;23;24;1;-300
"7";107;33;37;4;-300
"8";108;13;22;9;-300
"9";109;38;39;1;-300
"10";110;11;12;1;-300
"1";101;82;92;10;-300
"2";102;56;77;21;-300
"3";103;1;5;4;-300
"4";104;54;55;1;-300
"5";105;51;53;2;-300
"6";106;6;46;40;-300
"7";107;93;106;13;-300
"8";108;107;120;13;-300
"9";109;78;81;3;-300
"10";110;47;50;3;-300
"1";101;105;108;3;-300
"2";102;54;60;6;-300
"3";103;83;87;4;-300
"4";104;61;67;6;-300
"5";105;1;27;26;-300
"6";106;68;82;14;-300
"7";107;109;120;11;-300
"8";108;94;104;10;-300
"9";109;28;53;25;-300
"10";110;88;93;5;-300
"1";101;104;110;6;-300
"2";102;63;103;40;-300
"3";103;38;62;24;-300
"4";104;35;37;2;-300
"5";105;4;9;5;-300
"6";106;111;120;9;-300
"7";107;12;22;10;-300
"8";108;1;3;2;-300
"9";109;10;11;1;-300
"10";110;23;34;11;-300
"1";101;3;5;2;-300
"2";102;69;74;5;-300
"3";103;1;2;1;-300
"4";104;64;68;4;-300
"5";105;29;59;30;-300
"6";106;25;28;3;-300
"7";107;75;120;45;-300
"8";108;12;24;12;-300
"9";109;60;63;3;-300
"10";110;6;11;5;-300
"1";101;104;120;16;-300
"2";102;11;26;15;-300
"3";103;55;80;25;-300
"4";104;81;97;16;-300
"5";105;98;100;2;-300
"6";106;1;10;9;-300
"7";107;52;54;2;-300
"8";108;101;103;2;-300
"9";109;27;43;16;-300
"10";110;44;51;7;-300
"1";101;108;109;1;-300
"2";102;79;88;9;-300
"3";103;75;78;3;-300
"4";104;110;120;10;-300
"5";105;27;28;1;-300
"6";106;10;18;8;-300
"7";107;89;107;18;-300
"8";108;29;74;45;-300
"9";109;1;9;8;-300
"10";110;19;26;7;-300
"1";101;74;77;3;-300
"2";102;78;79;1;-300
"3";103;41;43;2;-300
"4";104;32;40;8;-300
"5";105;101;120;19;-300
"6";106;1;31;30;-300
"7";107;69;73;4;-300
"8";108;44;56;12;-300
"9";109;80;100;20;-300
"10";110;57;68;11;-300
"1";101;72;74;2;-300
"2";102;21;31;10;-300
"3";103;85;120;35;-300
"4";104;32;39;7;-300
"5";105;45;71;26;-300
"6";106;10;20;10;-300
"7";107;75;79;4;-300
"8";108;1;9;8;-300
"9";109;80;84;4;-300
"10";110;40;44;4;-300
"1";101;9;13;4;-300
"2";102;14;30;16;-300
"3";103;93;120;27;-300
"4";104;56;63;7;-300
"5";105;31;32;1;-300
"6";106;1;8;7;-300
"7";107;68;92;24;-300
"8";108;64;67;3;-300
"9";109;49;55;6;-300
"10";110;33;48;15;-300
"1";101;10;49;39;-300
"2";102;67;68;1;-300
"3";103;5;9;4;-300
"4";104;83;95;12;-300
"5";105;50;66;16;-300
"6";106;69;82;13;-300
"7";107;1;4;3;-300
"8";108;107;111;4;-300
"9";109;96;106;10;-300
"10";110;112;120;8;-300
"1";101;48;62;14;-300
"2";102;95;101;6;-300
"3";103;31;36;5;-300
"4";104;37;47;10;-300
"5";105;63;78;15;-300
"6";106;79;81;2;-300
"7";107;90;94;4;-300
"8";108;1;30;29;-300
"9";109;82;89;7;-300
"10";110;102;120;18;-300
"1";101;62;68;6;-300
"2";102;96;105;9;-300
"3";103;47;56;9;-300
"4";104;16;46;30;-300
"5";105;11;15;4;-300
"6";106;1;10;9;-300
"7";107;69;92;23;-300
"8";108;93;95;2;-300
"9";109;106;120;14;-300
"10";110;57;61;4;-300
"1";101;40;43;3;-300
"2";102;93;104;11;-300
"3";103;12;26;14;-300
"4";104;44;60;16;-300
"5";105;105;120;15;-300
"6";106;27;28;1;-300
"7";107;32;39;7;-300
"8";108;1;11;10;-300
"9";109;61;92;31;-300
"10";110;29;31;2;-300
"1";101;1;17;16;-300
"2";102;43;54;11;-300
"3";103;18;28;10;-300
"4";104;29;36;7;-300
"5";105;100;104;4;-300
"6";106;68;99;31;-300
"7";107;105;120;15;-300
"8";108;57;67;10;-300
"9";109;55;56;1;-300
"10";110;37;42;5;-300
"1";101;76;84;8;-300
"2";102;40;43;3;-300
"3";103;15;22;7;-300
"4";104;85;112;27;-300
"5";105;44;75;31;-300
"6";106;1;8;7;-300
"7";107;23;39;16;-300
"8";108;118;120;2;-300
"9";109;113;117;4;-300
"10";110;9;14;5;-300
"1";101;74;76;2;-300
"2";102;56;73;17;-300
"3";103;37;47;10;-300
"4";104;28;36;8;-300
"5";105;1;15;14;-300
"6";106;77;120;43;-300
"7";107;52;55;3;-300
"8";108;16;22;6;-300
"9";109;48;51;3;-300
"10";110;23;27;4;-300
"1";101;29;55;26;-300
"2";102;10;28;18;-300
"3";103;88;94;6;-300
"4";104;5;9;4;-300
"5";105;95;96;1;-300
"6";106;97;120;23;-300
"7";107;69;87;18;-300
"8";108;1;4;3;-300
"9";109;56;66;10;-300
"10";110;67;68;1;-300
"1";101;76;94;18;-300
"2";102;66;75;9;-300
"3";103;12;20;8;-300
"4";104;105;120;15;-300
"5";105;6;11;5;-300
"6";106;1;5;4;-300
"7";107;95;104;9;-300
"8";108;49;65;16;-300
"9";109;38;48;10;-300
"10";110;21;37;16;-300
"1";101;104;107;3;-300
"2";102;45;54;9;-300
"3";103;1;4;3;-300
"4";104;15;16;1;-300
"5";105;108;120;12;-300
"6";106;5;14;9;-300
"7";107;91;103;12;-300
"8";108;89;90;1;-300
"9";109;17;44;27;-300
"10";110;55;88;33;-300
"1";101;66;80;14;-300
"2";102;81;120;39;-300
"3";103;23;30;7;-300
"4";104;40;65;25;-300
"5";105;1;10;9;-300
"6";106;38;39;1;-300
"7";107;31;35;4;-300
"8";108;13;22;9;-300
"9";109;36;37;1;-300
"10";110;11;12;1;-300
"1";101;83;93;10;-300
"2";102;57;78;21;-300
"3";103;1;5;4;-300
"4";104;54;56;2;-300
"5";105;51;53;2;-300
"6";106;6;46;40;-300
"7";107;94;106;12;-300
"8";108;107;120;13;-300
"9";109;79;82;3;-300
"10";110;47;50;3;-300
"1";101;105;108;3;-300
"2";102;54;60;6;-300
"3";103;83;87;4;-300
"4";104;61;67;6;-300
"5";105;1;27;26;-300
"6";106;68;82;14;-300
"7";107;109;120;11;-300
"8";108;94;104;10;-300
"9";109;28;53;25;-300
"10";110;88;93;5;-300
"1";101;104;110;6;-300
"2";102;63;103;40;-300
"3";103;38;62;24;-300
"4";104;35;37;2;-300
"5";105;4;9;5;-300
"6";106;111;120;9;-300
"7";107;12;22;10;-300
"8";108;1;3;2;-300
"9";109;10;11;1;-300
"10";110;23;34;11;-300
"1";101;3;5;2;-300
"2";102;70;75;5;-300
"3";103;1;2;1;-300
"4";104;65;69;4;-300
"5";105;29;60;31;-300
"6";106;25;28;3;-300
"7";107;76;120;44;-300
"8";108;12;24;12;-300
"9";109;61;64;3;-300
"10";110;6;11;5;-300
"1";101;104;120;16;-300
"2";102;11;26;15;-300
"3";103;55;80;25;-300
"4";104;81;97;16;-300
"5";105;98;100;2;-300
"6";106;1;10;9;-300
